Date,Open,High,Low,Close,Quantity,PERatio
20121210,39.35,39.65,38.70,39.00,12611113,17.97
20121211,38.70,39.05,38.25,38.90,12621732,17.93
20121212,39.50,39.65,38.70,39.00,12212486,17.97
20121213,39.00,39.10,38.75,39.05,7773351,18.0
20121214,39.00,39.20,38.90,39.05,6775543,18.0
20121217,39.00,39.15,38.80,38.85,4500603,17.9
20121218,38.90,39.00,37.80,38.75,8464024,17.86
20121219,38.85,38.90,38.25,38.50,7670556,17.74
20121220,38.60,38.90,38.30,38.50,7310583,17.74
20121221,38.50,38.50,37.30,37.50,10211037,17.28
20121224,36.95,37.50,36.85,37.50,4695706,17.28
20121225,37.50,38.20,37.35,38.00,4650255,17.51
20121226,38.00,38.90,38.00,38.70,8237451,17.83
20121227,38.75,38.95,38.25,38.85,6232931,17.9
20121228,39.00,39.00,38.55,38.90,4811175,17.93
20130102,38.95,39.10,38.65,39.00,6374614,17.97
20130103,39.50,39.50,38.75,38.85,9710784,17.9
20130104,39.40,39.45,38.60,39.00,8682170,17.97
20130107,39.10,39.10,38.65,38.90,5067416,17.93
20130108,38.90,39.10,38.20,38.50,6454905,17.74
20130109,38.80,39.00,38.50,38.55,5776333,17.76
20130110,39.00,39.65,38.80,39.65,15592427,18.27
20130111,39.65,39.95,39.40,39.65,7716292,18.27
20130114,39.20,39.50,38.20,39.50,11525113,18.2
20130115,39.40,39.40,38.75,39.00,6009521,17.97
20130116,39.30,39.30,38.65,38.95,4870378,17.95
20130117,39.20,39.20,37.50,37.80,9392585,17.42
20130118,38.50,39.00,38.00,38.75,16762108,17.86
20130121,38.30,38.95,38.20,38.85,5561944,17.9
20130122,38.85,39.10,38.45,39.00,4343619,17.97
20130123,38.80,39.05,38.70,38.95,3720603,17.95
20130124,38.80,39.15,38.50,39.00,5816670,17.97
20130125,38.90,39.25,38.65,39.10,8601843,18.02
20140718,43.70,44.00,43.60,43.80,4474316,15.48
20140721,44.10,44.30,44.00,44.20,4318538,15.62
20140722,44.20,44.25,43.80,44.00,5007323,15.55
20140724,44.00,44.20,43.65,44.00,7529139,15.55
20140725,44.00,44.25,43.65,44.00,5741629,15.55
20140728,44.00,44.30,44.00,44.05,7068378,15.57
20140729,44.30,45.50,44.20,45.50,17122279,16.08
20140730,45.90,46.00,45.20,45.70,17744326,16.15
20140731,45.75,45.75,44.50,44.85,8821753,15.85
20140801,44.70,45.00,44.40,44.45,6425030,15.71
20140804,45.00,45.55,44.50,45.55,10532832,16.10
20140805,45.55,45.60,44.25,44.30,11884593,15.65
20140806,44.30,44.75,43.85,44.20,8088990,15.62
20140807,44.75,44.75,44.20,44.60,8293609,15.76
20140808,44.60,44.80,44.10,44.80,6494774,15.83
20140811,44.90,45.20,44.80,44.90,6094665,15.87
20140812,45.20,45.20,44.40,45.00,4468526,15.90
20140813,45.00,45.50,45.00,45.50,7214179,16.08
20140814,45.75,45.95,44.90,45.95,9013208,16.24
20140815,46.10,46.10,45.55,45.95,6059124,15.37
20140818,45.95,46.20,45.55,45.60,8459463,15.25
20140819,46.00,46.35,45.85,46.30,12410142,15.48
20140820,46.40,47.00,46.05,47.00,11028397,15.72
20140821,47.20,47.50,46.80,47.50,14538470,15.89
20140822,47.70,49.55,47.60,49.55,25596261,16.57
20140825,49.55,49.55,48.10,48.30,11137634,16.15
20140826,48.15,48.45,47.90,48.40,5255478,16.19
20140827,48.40,48.60,48.00,48.30,8404219,16.15
20140828,48.15,48.30,47.75,48.20,5300773,16.12
20140829,47.80,48.10,47.50,47.50,5881146,15.89
20140901,47.50,48.50,47.50,48.50,6054804,16.22
20140902,48.40,48.40,47.00,47.10,6887280,15.75
20140903,47.20,47.95,47.20,47.75,6575211,15.97
20140904,47.70,47.90,47.35,47.90,3383810,16.02
20140905,47.55,47.90,47.25,47.30,5878611,15.82
20140909,47.50,47.70,47.40,47.65,4984394,15.94
20140910,47.50,47.50,46.35,47.10,7442311,15.75
20140911,47.10,47.50,46.55,47.15,4319087,15.77
20140912,47.50,47.50,46.10,46.10,7045004,15.42
20140915,46.30,47.00,46.20,46.75,6526609,15.64
20140916,47.00,47.10,46.30,46.30,3934104,15.48
20140917,47.00,47.45,46.80,47.30,8762139,15.82
20140918,47.50,47.50,46.65,46.70,6052601,15.62
20140919,46.90,47.45,46.50,46.95,6958307,15.70
20140922,46.80,46.80,45.60,45.80,7691234,15.32
20140923,45.95,46.00,45.45,45.45,6296553,15.20
20140924,45.45,46.80,45.35,46.70,10221791,15.62
20140925,47.00,47.00,45.60,45.85,6367436,15.33
20140926,45.40,45.60,45.10,45.30,8267454,15.15
20140929,45.80,45.80,44.95,45.00,8710255,15.05
20140930,45.10,45.60,44.80,45.30,6356453,15.15
20141001,45.50,45.50,44.70,44.80,6935048,14.98
20141002,44.55,44.70,44.10,44.70,6821593,14.95
20141003,44.80,45.30,44.40,45.10,4027202,15.08
20141006,45.25,45.25,44.50,44.80,5088008,14.98
20141007,44.80,45.00,44.35,44.75,5823823,14.97
20141008,44.75,45.60,44.50,45.35,6417131,15.17
20141009,45.50,46.15,45.40,46.00,6783681,15.38
20141013,45.00,45.40,44.80,44.80,4828127,14.98
20141014,44.80,45.40,44.80,45.15,3348053,15.10
20141015,45.35,46.15,44.60,45.50,9272329,15.22
20141016,45.50,45.95,45.00,45.50,5632851,15.22
20141017,45.70,45.70,45.00,45.25,8128119,15.13
20141020,45.55,45.95,45.50,45.55,1821523,15.23
20141021,45.80,45.90,45.40,45.40,2765048,15.18
20141022,45.80,45.95,45.50,45.55,4032854,15.23
20141023,45.55,45.85,45.50,45.75,2951832,15.30
20141024,46.00,46.05,45.50,45.75,2492525,15.30
20141027,45.90,46.00,45.70,45.85,2728200,15.33
20141028,46.20,47.25,46.20,47.10,7571595,15.75
20141029,47.20,47.20,46.20,46.75,4864155,15.64
20141030,46.55,46.65,46.20,46.45,5094695,15.54
20141031,46.60,46.90,46.10,46.45,3737620,15.54
20141103,46.90,46.95,46.30,46.80,2826755,15.65
20141104,46.95,47.20,46.30,46.30,3989968,15.48
20141105,46.65,46.65,46.10,46.30,3456118,15.48
20141106,46.40,46.65,46.00,46.05,4266324,15.40
20141107,46.05,46.30,45.60,45.65,6423625,15.27
20141110,45.60,46.65,45.55,46.20,5583586,15.45
20141111,46.60,46.85,45.95,45.95,6021024,15.37
20141112,45.40,45.90,45.40,45.65,6571859,15.27
20141113,45.70,45.70,45.40,45.65,4101687,15.27
20141114,45.50,45.50,45.00,45.00,7020382,15.05
20141117,45.40,45.40,44.40,44.60,5596639,14.92
20141118,44.60,45.20,44.50,44.95,8446336,15.55
20141119,45.50,45.60,44.80,44.80,10007259,15.50
20141120,45.40,46.05,45.05,46.00,5258075,15.92
20141121,45.95,46.00,45.25,45.30,8145721,15.67
20141124,45.60,46.40,45.55,46.15,8462944,15.97
20141125,46.15,46.20,45.50,45.50,5408562,15.74
20141126,45.80,45.80,45.30,45.30,5327681,15.67
20141127,45.35,45.80,45.30,45.35,3894128,15.69
20141128,45.35,45.70,45.30,45.45,4139472,15.73
20141201,45.00,45.60,44.90,45.20,5308487,15.64
20141202,45.15,45.50,44.90,45.35,5517898,15.69
20141203,45.45,45.45,44.90,45.20,6329521,15.64
20141204,45.00,45.70,45.00,45.15,7435299,15.62
20141205,45.50,45.60,45.10,45.35,2737144,15.69
20141208,45.75,45.75,45.30,45.60,2316077,15.78
20141209,45.70,45.70,45.05,45.25,6296487,15.66
20141210,45.05,45.20,44.60,44.85,8471237,15.52
20141211,45.00,45.00,44.50,44.50,11720132,15.40
20141212,44.50,44.55,44.15,44.20,10610835,15.29
20141215,44.05,44.05,43.25,43.45,11473441,15.03
20141216,43.40,44.10,43.40,43.40,10378256,15.02
20141217,43.30,43.30,41.55,41.55,19989232,14.38
20141218,41.85,42.25,41.75,42.00,14297740,14.53
20141219,42.50,42.60,41.90,42.30,11834946,14.64
20141222,42.10,42.70,42.10,42.45,10178682,14.69
20141223,42.85,42.90,42.60,42.90,5534577,14.84
20141224,43.00,43.10,42.70,42.95,6636330,14.86
20141225,43.00,43.15,42.75,43.15,4366832,14.93
20141226,43.10,43.10,42.90,43.00,5465845,14.88
20141229,43.00,43.90,43.00,43.40,7228871,15.02
20141230,43.50,43.85,43.20,43.55,3357578,15.07
20141231,43.45,43.60,43.00,43.40,6291182,15.02
