Date,Open
2011/11/23,82.6
2011/11/24,81.1
2011/11/25,82.4
2011/11/28,82.25
2011/11/29,84
2011/11/30,83.95
2011/12/1,85.55
2011/12/2,88.6
2011/12/5,91.7
2011/12/7,91
2011/12/8,90.85
2011/12/9,88.75
2011/12/12,90.15
2011/12/13,86.35
2011/12/14,88.4
2011/12/15,86.5
2011/12/16,89.8
2011/12/19,86.1
2011/12/20,85.2
2011/12/21,87
2011/12/22,86
2011/12/23,90.9
2011/12/26,88.95
2011/12/27,89.1
2011/12/28,88
2011/12/29,86.85
2011/12/30,91
2012/1/2,90.95
2012/1/3,91.8
2012/1/4,94.95
2012/1/5,95
2012/1/6,92.5
2012/1/7,94
2012/1/9,94
2012/1/10,93.25
2012/1/11,94.65
2012/1/12,92.95
2012/1/13,93.9
2012/1/16,86
2012/1/17,99.95
2012/1/18,97
2012/1/19,94.75
2012/1/20,94.55
2012/1/23,93
2012/1/24,92.15
2012/1/25,93.5
2012/1/27,95
2012/1/30,98
2012/1/31,102
2012/2/1,116
2012/2/2,110.2
2012/2/3,110
2012/2/6,120
2012/2/7,116.2
2012/2/8,113
2012/2/9,117.5
2012/2/10,123.05
2012/2/13,119.7
2012/2/14,121.4
2012/2/15,121.5
2012/2/16,120.5
2012/2/17,121.45
2012/2/21,119.95
2012/2/22,121.9
2012/2/23,117
2012/2/24,121
2012/2/27,119
2012/2/28,113.75
2012/2/29,122.2
2012/3/1,125.95
2012/3/2,124.25
2012/3/3,120.7
2012/3/5,120.05
2012/3/6,115.15
2012/3/7,113.8
2012/3/9,117.6
2012/3/12,119
2012/3/13,117.5
2012/3/14,119.15
2012/3/15,121
2012/3/16,116.3
2012/3/19,113.9
2012/3/20,109
2012/3/21,113.55
2012/3/22,124
2012/3/23,115
2012/3/26,113.45
2012/3/27,110.05
2012/3/28,110.95
2012/3/29,109
2012/3/30,108.55
2012/4/2,112.5
2012/4/3,116.4
2012/4/4,120
2012/4/9,116.9
2012/4/10,117.5
2012/4/11,115.5
2012/4/12,119.1
2012/4/13,121.4
2012/4/16,117.65
2012/4/17,118.55
2012/4/18,119.25
2012/4/19,119.9
2012/4/20,126
2012/4/23,123.7
2012/4/24,117.55
2012/4/25,118.65
2012/4/26,117.05
2012/4/27,115.7
2012/4/28,116
2012/4/30,118.95
2012/5/2,117.1
2012/5/3,119.65
2012/5/4,117.8
2012/5/7,117.8
2012/5/8,116.35
2012/5/9,112.05
2012/5/10,111.1
2012/5/11,112.05
2012/5/14,108
2012/5/15,103
2012/5/16,103.65
2012/5/17,108.95
2012/5/18,105.8
2012/5/21,106.05
2012/5/22,107.7
2012/5/23,107.25
2012/5/24,108.5
2012/5/25,109.5
2012/5/28,107.5
2012/5/29,112
2012/5/30,110
2012/5/31,107.55
2012/6/1,108.1
2012/6/4,104.1
2012/6/5,105.05
2012/6/6,106
2012/6/7,108.8
2012/6/8,108.15
2012/6/11,113.7
2012/6/12,110.5
2012/6/13,110.75
2012/6/14,108.5
2012/6/15,107.35
2012/6/18,108.55
2012/6/19,105
2012/6/20,105.05
2012/6/21,106.3
2012/6/22,107.15
2012/6/25,108.6
2012/6/26,110
2012/6/27,116.8
2012/6/28,117.6
2012/6/29,116.85
2012/7/2,117
2012/7/3,118.55
2012/7/4,120.05
2012/7/5,118.85
2012/7/6,118.1
2012/7/9,115
2012/7/10,110
2012/7/11,114.7
2012/7/12,111.3
2012/7/13,111.6
2012/7/16,113.8
2012/7/17,114
2012/7/18,116
2012/7/19,119
2012/7/20,122.05
2012/7/23,118
2012/7/24,115
2012/7/25,123
2012/7/26,120
2012/7/27,120
2012/7/30,121
2012/7/31,120
2012/8/1,126.7
2012/8/2,125.95
2012/8/3,129.45
2012/8/6,132.05
2012/8/7,129
2012/8/8,129
2012/8/9,129.4
2012/8/10,130.9
2012/8/13,133
2012/8/14,136
2012/8/16,134.1
2012/8/17,133.95
2012/8/21,135.45
2012/8/22,132.55
2012/8/23,132.25
2012/8/24,132
2012/8/27,129.35
2012/8/28,129.95
2012/8/29,128.15
2012/8/30,124.05
2012/8/31,130.3
2012/9/3,131.35
2012/9/4,131.05
2012/9/5,131.6
2012/9/6,135
2012/9/7,137.9
2012/9/8,136.55
2012/9/10,137.85
2012/9/11,132
2012/9/12,135.55
2012/9/13,134.35
2012/9/14,133.8
2012/9/17,134.95
2012/9/18,128
2012/9/20,129.5
2012/9/21,127.9
2012/9/24,131.05
2012/9/25,129.5
2012/9/26,130
2012/9/27,131.8
2012/9/28,133
2012/10/1,143.75
2012/10/3,148.9
2012/10/4,155.6
2012/10/5,153.7
2012/10/8,150.25
2012/10/9,155.55
2012/10/10,154.8
2012/10/11,156.2
2012/10/12,160.1
2012/10/15,161.9
2012/10/16,160.45
2012/10/17,162.5
2012/10/18,163
2012/10/19,162.8
2012/10/22,156
2012/10/23,160.1
2012/10/25,157
2012/10/26,155.9
2012/10/29,154.2
2012/10/30,150
2012/10/31,152.4
2012/11/1,151.9
2012/11/2,160.5
2012/11/5,158.7
2012/11/6,159
2012/11/7,158.95
2012/11/8,158.45
2012/11/9,168.6
2012/11/12,168.85
2012/11/13,170
2012/11/15,171.7
2012/11/16,180
2012/11/19,174
2012/11/20,165
2012/11/21,160
2012/11/22,161
2012/11/23,160.85
2012/11/26,164.7
2012/11/27,166.45
2012/11/29,163.5
2012/11/30,163.2
2012/12/3,166.8
2012/12/4,168.35
2012/12/5,166.45
2012/12/6,166.95
2012/12/7,168.4
2012/12/10,171.4
2012/12/11,173
2012/12/12,170
2012/12/13,173.5
2012/12/14,168.2
2012/12/17,168.9
2012/12/18,167
2012/12/19,166.35
2012/12/20,165
2012/12/21,163
2012/12/24,161.7
2012/12/26,161.75
2012/12/27,160.4
2012/12/28,160.25
2012/12/31,160.5
2013/1/1,160.55
2013/1/2,161.5
2013/1/3,167.3
2013/1/4,166
2013/1/7,164.95
2013/1/8,163.35
2013/1/9,164.6
2013/1/10,162.75
2013/1/11,161.4
2013/1/14,159.05
2013/1/15,167
2013/1/16,158.6
2013/1/17,157
2013/1/18,155
2013/1/21,153
2013/1/22,154.4
2013/1/23,153.5
2013/1/24,149.4
2013/1/25,147
2013/1/28,148.7
2013/1/29,147.95
2013/1/30,148
2013/1/31,143.5
2013/2/1,151.45
2013/2/4,146.15
2013/2/5,145
2013/2/6,142
2013/2/7,142.25
2013/2/8,144.9
2013/2/11,143
2013/2/12,141
2013/2/13,142.5
2013/2/14,141.5
2013/2/15,138.3
2013/2/18,143.9
2013/2/19,142
2013/2/20,148
2013/2/21,143.75
2013/2/22,138.7
2013/2/25,139.4
2013/2/26,132
2013/2/27,132.9
2013/2/28,133.5
2013/3/1,126.7
2013/3/4,127.5
2013/3/5,127.4
2013/3/6,133
2013/3/7,130
2013/3/8,132.1
2013/3/11,134.4
2013/3/12,133.9
2013/3/13,132.5
2013/3/14,133.9
2013/3/15,134.35
2013/3/18,133
2013/3/19,131.1
2013/3/20,129.1
2013/3/21,128.55
2013/3/22,125
2013/3/25,127.3
2013/3/26,123.1
2013/3/28,124.1
2013/4/1,128.5
2013/4/2,131
2013/4/3,134.9
2013/4/4,129
2013/4/5,126
2013/4/8,127.1
2013/4/9,133.5
2013/4/10,130.85
2013/4/11,131.7
2013/4/12,130.15
2013/4/15,131.1
2013/4/16,131.5
2013/4/17,134.2
2013/4/18,137.8
2013/4/22,139
2013/4/23,141.3
2013/4/25,138.35
2013/4/26,136.4
2013/4/29,141
2013/4/30,145
2013/5/2,146.8
2013/5/3,149.75
2013/5/6,147.6
2013/5/7,147.75
2013/5/8,149
2013/5/9,151.8
2013/5/10,148.05
2013/5/11,146.5
2013/5/13,147.1
2013/5/14,146
2013/5/15,141.5
2013/5/16,146.5
2013/5/17,143.5
2013/5/20,145.95
2013/5/21,144.8
2013/5/22,144.7
2013/5/23,141.5
2013/5/24,139.15
2013/5/27,141.65
2013/5/28,144.1
2013/5/29,145.45
2013/5/30,142.15
2013/5/31,149.45
2013/6/3,145.9
2013/6/4,147.8
2013/6/5,150.6
2013/6/6,149.7
2013/6/7,149
2013/6/10,150.05
2013/6/11,145.8
2013/6/12,142.75
2013/6/13,139.05
2013/6/14,140.4
2013/6/17,140
2013/6/18,141.9
2013/6/19,142.7
2013/6/20,141.25
2013/6/21,139.55
2013/6/24,135.8
2013/6/25,133.45
2013/6/26,135.6
2013/6/27,133.25
2013/6/28,132.5
2013/7/1,134.5
2013/7/2,141.5
2013/7/3,139
2013/7/4,142.85
2013/7/5,144.5
2013/7/8,144
2013/7/9,148
2013/7/10,145.8
2013/7/11,149.9
2013/7/12,148
2013/7/15,149
2013/7/16,152.5
2013/7/17,154.5
2013/7/18,157.6
2013/7/19,155.3
2013/7/22,155
2013/7/23,155
2013/7/24,154
2013/7/25,155.25
2013/7/26,153.1
2013/7/29,158.15
2013/7/30,160.45
2013/7/31,159.8
2013/8/1,161
2013/8/2,149.9
2013/8/5,149.8
2013/8/6,142.7
2013/8/7,138
2013/8/8,143
2013/8/12,147.8
2013/8/13,144.55
2013/8/14,146.9
2013/8/16,147
2013/8/19,142.8
2013/8/20,139
2013/8/21,141.5
2013/8/22,141.8
2013/8/23,147.8
2013/8/26,147
2013/8/27,144.7
2013/8/28,141.5
2013/8/29,137
2013/8/30,138.1
2013/9/2,139.4
2013/9/3,144.1
2013/9/4,142
2013/9/5,145.8
2013/9/6,148.45
2013/9/10,149
2013/9/11,146.95
2013/9/12,152.2
2013/9/13,150.1
2013/9/16,153.8
2013/9/17,148
2013/9/18,148.5
2013/9/19,151
2013/9/20,151
2013/9/23,148
2013/9/24,143.25
2013/9/25,144.5
2013/9/26,145.9
2013/9/27,146
2013/9/30,146
2013/10/1,144.1
2013/10/3,151
2013/10/4,155.3
2013/10/7,153.7
2013/10/8,157
2013/10/9,155.7
2013/10/10,156
2013/10/11,161.15
2013/10/14,160.85
2013/10/15,160
2013/10/17,159.1
2013/10/18,163.2
2013/10/21,164.5
2013/10/22,160.4
2013/10/23,162.1
2013/10/24,159
2013/10/25,166.2
2013/10/28,164
2013/10/29,163.3
2013/10/30,163
2013/10/31,165
2013/11/1,164
2013/11/3,168
2013/11/5,168.5
2013/11/6,167.7
2013/11/7,164.4
2013/11/8,160.2
2013/11/11,160.4
2013/11/12,157.1
2013/11/13,155
2013/11/14,146.05
2013/11/18,142.5
2013/11/19,149
2013/11/20,146.25
2013/11/21,145.1
2013/11/22,144.35
2013/11/25,142.55
2013/11/26,142
2013/11/27,146.3
2013/11/28,145
2013/11/29,148
2013/12/2,149.2
2013/12/3,149
2013/12/4,146.5
2013/12/5,147.6
2013/12/6,146.8
2013/12/9,149.1
2013/12/10,146.75
2013/12/11,147.95
2013/12/12,146.8
2013/12/13,146
2013/12/16,145.25
2013/12/17,144.1
2013/12/18,145.3
2013/12/19,148.55
2013/12/20,147.2
2013/12/23,154.5
2013/12/24,155.4
2013/12/26,159
2013/12/27,160.8
2013/12/30,158.55
2013/12/31,159.5
2014/1/1,160.85
2014/1/2,160.5
